Date,PM2.5AQI Value,Main Pollutant,Site Name,Site ID,Source
5/12/01,69,,Allen Park,26-163-0001,AQS
5/13/01,89,,Allen Park,26-163-0001,AQS
5/14/01,52,,Allen Park,26-163-0001,AQS
5/15/01,84,,Allen Park,26-163-0001,AQS
5/16/01,106,,92 FEET FROM WHE STREET,26-163-0036,AQS
5/17/01,91,,Allen Park,26-163-0001,AQS
5/18/01,68,,,26-163-0016,AQS
5/19/01,65,,Allen Park,26-163-0001,AQS
5/20/01,54,,Allen Park,26-163-0001,AQS
5/21/01,62,,Allen Park,26-163-0001,AQS
5/22/01,70,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/23/01,40,,,26-163-0016,AQS
5/24/01,59,,,26-163-0016,AQS
5/25/01,59,,Port Huron,26-147-0005,AQS
5/26/01,40,,,26-163-0016,AQS
5/27/01,32,,,26-163-0016,AQS
5/28/01,52,,Allen Park,26-163-0001,AQS
5/29/01,42,,Allen Park,26-163-0001,AQS
5/30/01,27,,Allen Park,26-163-0001,AQS
5/31/01,80,,East 7 Mile,26-163-0019,AQS
6/1/01,47,,Allen Park,26-163-0001,AQS
6/2/01,40,,,26-163-0016,AQS
6/3/01,52,,92 FEET FROM WHE STREET,26-163-0036,AQS
6/4/01,55,,Allen Park,26-163-0001,AQS
6/5/01,56,,Allen Park,26-163-0001,AQS
6/6/01,70,,East 7 Mile,26-163-0019,AQS
6/7/01,54,,Allen Park,26-163-0001,AQS
6/8/01,57,,Allen Park,26-163-0001,AQS
6/9/01,67,,92 FEET FROM WHE STREET,26-163-0036,AQS
6/10/01,59,,,26-163-0016,AQS
6/11/01,63,,Allen Park,26-163-0001,AQS
6/12/01,84,,Allen Park,26-163-0001,AQS
6/13/01,69,,Allen Park,26-163-0001,AQS
6/14/01,101,,Allen Park,26-163-0001,AQS
6/15/01,126,,Port Huron,26-147-0005,AQS
6/16/01,37,,,26-163-0016,AQS
6/17/01,36,,,26-163-0016,AQS
6/18/01,78,,East 7 Mile,26-163-0019,AQS
6/19/01,66,,Allen Park,26-163-0001,AQS
6/20/01,63,,Allen Park,26-163-0001,AQS
6/21/01,66,,Allen Park,26-163-0001,AQS
6/22/01,37,,Allen Park,26-163-0001,AQS
6/23/01,65,,Allen Park,26-163-0001,AQS
6/24/01,60,,Port Huron,26-147-0005,AQS
6/25/01,91,,East 7 Mile,26-163-0019,AQS
6/26/01,101,,,26-163-0016,AQS
6/27/01,125,,Port Huron,26-147-0005,AQS
6/28/01,87,,,26-163-0016,AQS
6/29/01,101,,,26-163-0016,AQS
6/30/01,132,,East 7 Mile,26-163-0019,AQS
7/1/01,54,,Allen Park,26-163-0001,AQS
7/2/01,35,,,26-163-0016,AQS
7/3/01,64,,92 FEET FROM WHE STREET,26-163-0036,AQS
7/4/01,54,,Allen Park,26-163-0001,AQS
7/6/01,41,,Southwestern H.S.,26-163-0015,AQS
7/7/01,65,,Allen Park,26-163-0001,AQS
7/8/01,82,,Allen Park,26-163-0001,AQS
7/9/01,92,,92 FEET FROM WHE STREET,26-163-0036,AQS
7/10/01,59,,Allen Park,26-163-0001,AQS
7/11/01,19,,Allen Park,26-163-0001,AQS
7/12/01,35,,Southwestern H.S.,26-163-0015,AQS
7/13/01,33,,Allen Park,26-163-0001,AQS
7/14/01,48,,Allen Park,26-163-0001,AQS
7/15/01,64,,Port Huron,26-147-0005,AQS
7/16/01,68,,Allen Park,26-163-0001,AQS
7/17/01,99,,Allen Park,26-163-0001,AQS
7/18/01,124,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
7/19/01,122,,Allen Park,26-163-0001,AQS
7/20/01,152,,Allen Park,26-163-0001,AQS
7/21/01,144,,Allen Park,26-163-0001,AQS
7/22/01,91,,,26-163-0016,AQS
7/23/01,88,,,26-163-0016,AQS
7/24/01,75,,East 7 Mile,26-163-0019,AQS
7/25/01,28,,,26-163-0016,AQS
7/26/01,32,,Allen Park,26-163-0001,AQS
