Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
09/25/2021,39,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/26/2021,64,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/27/2021,49,,Southwestern H.S.,26-163-0015,AQS
09/28/2021,25,,Southwestern H.S.,26-163-0015,AQS
09/29/2021,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/30/2021,52,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/01/2021,72,,Military Park (GHIB),26-163-0100,AQS
10/02/2021,59,,ELIZA-NR,26-163-0093,AQS
10/03/2021,53,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/04/2021,56,,Port Huron,26-147-0005,AQS
10/05/2021,54,,New Haven,26-099-0009,AQS
10/06/2021,55,,New Haven,26-099-0009,AQS
10/07/2021,61,,New Haven,26-099-0009,AQS
10/08/2021,45,,Port Huron,26-147-0005,AQS
10/09/2021,53,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/10/2021,52,,Allen Park,26-163-0001,AQS
10/11/2021,58,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/12/2021,35,,Southwestern H.S.,26-163-0015,AQS
10/13/2021,37,,Southwestern H.S.,26-163-0015,AQS
10/14/2021,52,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
10/15/2021,29,,Allen Park,26-163-0001,AQS
10/16/2021,26,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/17/2021,27,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/18/2021,54,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/19/2021,65,,Southwestern H.S.,26-163-0015,AQS
10/20/2021,68,,Southwestern H.S.,26-163-0015,AQS
10/21/2021,59,,Southwestern H.S.,26-163-0015,AQS
10/22/2021,29,,Southwestern H.S.,26-163-0015,AQS
10/23/2021,58,,Southwestern H.S.,26-163-0015,AQS
10/24/2021,82,,Southwestern H.S.,26-163-0015,AQS
10/25/2021,29,,Southwestern H.S.,26-163-0015,AQS
10/26/2021,19,,ELIZA-NR,26-163-0093,AQS
10/27/2021,52,,Southwestern H.S.,26-163-0015,AQS
10/28/2021,35,,Southwestern H.S.,26-163-0015,AQS
10/29/2021,31,,Port Huron,26-147-0005,AQS
10/30/2021,42,,Southwestern H.S.,26-163-0015,AQS
10/31/2021,39,,Southwestern H.S.,26-163-0015,AQS
11/01/2021,33,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/02/2021,34,,ELIZA-NR,26-163-0093,AQS
11/03/2021,51,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/04/2021,65,,Southwestern H.S.,26-163-0015,AQS
11/05/2021,86,,Southwestern H.S.,26-163-0015,AQS
11/06/2021,91,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/07/2021,100,,Southwestern H.S.,26-163-0015,AQS
11/08/2021,94,,Southwestern H.S.,26-163-0015,AQS
11/09/2021,72,,Southwestern H.S.,26-163-0015,AQS
11/10/2021,64,,Southwestern H.S.,26-163-0015,AQS
11/11/2021,62,,Southwestern H.S.,26-163-0015,AQS
