Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
2/19/80,67.0,NO2,,26-163-0020,AQS
2/20/80,55.0,CO,,26-163-0021,AQS
2/21/80,43.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
2/22/80,41.0,NO2,,26-163-0020,AQS
2/23/80,40.0,CO,,26-163-0021,AQS
2/24/80,51.0,NO2,,26-163-0020,AQS
2/25/80,32.0,Ozone,East 7 Mile,26-163-0019,AQS
2/26/80,30.0,Ozone,East 7 Mile,26-163-0019,AQS
2/27/80,33.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
2/28/80,31.0,Ozone,East 7 Mile,26-163-0019,AQS
2/29/80,32.0,Ozone,East 7 Mile,26-163-0019,AQS
3/1/80,32.0,Ozone,East 7 Mile,26-163-0019,AQS
3/2/80,33.0,Ozone,East 7 Mile,26-163-0019,AQS
3/3/80,41.0,CO,,26-163-2002,AQS
3/4/80,36.0,NO2,,26-147-0905,AQS
3/5/80,43.0,CO,,26-163-0021,AQS
3/6/80,37.0,NO2,,26-147-0905,AQS
3/7/80,76.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
3/8/80,52.0,NO2,,26-163-0020,AQS
3/9/80,88.0,NO2,,26-163-0020,AQS
3/10/80,58.0,NO2,,26-163-0020,AQS
3/11/80,40.0,Ozone,East 7 Mile,26-163-0019,AQS
3/12/80,43.0,Ozone,East 7 Mile,26-163-0019,AQS
3/13/80,60.0,CO,,26-163-0021,AQS
3/14/80,64.0,Ozone,,26-163-0016,AQS
3/15/80,47.0,NO2,,26-163-0020,AQS
3/16/80,41.0,Ozone,East 7 Mile,26-163-0019,AQS
3/17/80,42.0,NO2,,26-163-0020,AQS
3/18/80,57.0,NO2,,26-163-0020,AQS
3/19/80,49.0,NO2,,26-163-0020,AQS
3/20/80,51.0,NO2,,26-163-0020,AQS
3/21/80,37.0,NO2,,26-163-0020,AQS
3/22/80,46.0,Ozone,East 7 Mile,26-163-0019,AQS
3/23/80,40.0,CO,,26-163-0021,AQS
3/24/80,51.0,NO2,,26-163-0020,AQS
3/25/80,50.0,NO2,,26-163-0020,AQS
3/26/80,68.0,CO,,26-163-0021,AQS
3/27/80,62.0,NO2,,26-163-0020,AQS
3/28/80,60.0,NO2,,26-163-0020,AQS
3/29/80,42.0,NO2,,26-163-0020,AQS
3/30/80,58.0,Ozone,East 7 Mile,26-163-0019,AQS
3/31/80,45.0,NO2,,26-163-0020,AQS
4/1/80,81.0,CO,,26-163-0021,AQS
4/2/80,90.0,Ozone,,26-163-0016,AQS
4/3/80,102.0,NO2,,26-163-0016,AQS
4/4/80,86.0,NO2,,26-163-0016,AQS
4/5/80,102.0,NO2,,26-163-0016,AQS
4/6/80,104.0,NO2,,26-163-0016,AQS
4/7/80,103.0,NO2,,26-163-0016,AQS
4/8/80,81.0,NO2,,26-163-0016,AQS
4/9/80,65.0,NO2,,26-163-0016,AQS
4/10/80,70.0,NO2,,26-163-0016,AQS
4/11/80,94.0,NO2,,26-163-0016,AQS
4/12/80,69.0,NO2,,26-163-0016,AQS
4/13/80,49.0,NO2,,26-163-0016,AQS
4/14/80,65.0,NO2,,26-163-0016,AQS
4/15/80,51.0,NO2,,26-163-0016,AQS
4/16/80,71.0,Ozone,East 7 Mile,26-163-0019,AQS
4/17/80,107.0,NO2,,26-163-0016,AQS
4/18/80,164.0,Ozone,East 7 Mile,26-163-0019,AQS
4/19/80,182.0,Ozone,East 7 Mile,26-163-0019,AQS
4/20/80,133.0,Ozone,Allen Park,26-163-0001,AQS
4/21/80,111.0,NO2,,26-163-0016,AQS
4/22/80,187.0,Ozone,East 7 Mile,26-163-0019,AQS
4/23/80,78.0,NO2,,26-163-0016,AQS
4/24/80,93.0,Ozone,East 7 Mile,26-163-0019,AQS
4/25/80,103.0,NO2,,26-163-0016,AQS
4/26/80,96.0,NO2,,26-163-0016,AQS
4/27/80,50.0,NO2,,26-163-0016,AQS
4/28/80,80.0,NO2,,26-163-0016,AQS
4/29/80,110.0,NO2,,26-163-0016,AQS
4/30/80,105.0,NO2,,26-163-0016,AQS
5/1/80,86.0,NO2,,26-163-0020,AQS
5/2/80,112.0,Ozone,East 7 Mile,26-163-0019,AQS
5/3/80,71.0,Ozone,,26-163-2002,AQS
5/4/80,68.0,NO2,,26-163-0016,AQS
5/5/80,105.0,Ozone,,26-163-0016,AQS
5/6/80,65.0,NO2,,26-163-0020,AQS
5/7/80,39.0,Ozone,Allen Park,26-163-0001,AQS
5/8/80,41.0,NO2,,26-163-0020,AQS
5/9/80,51.0,NO2,,26-163-0016,AQS
5/10/80,74.0,Ozone,,26-125-0902,AQS
5/11/80,54.0,Ozone,,26-125-0902,AQS
5/12/80,84.0,Ozone,,26-163-2002,AQS
5/13/80,79.0,NO2,,26-163-0016,AQS
5/14/80,52.0,NO2,,26-147-0904,AQS
5/15/80,103.0,NO2,,26-147-0904,AQS
5/16/80,115.0,Ozone,Allen Park,26-163-0001,AQS
5/17/80,47.0,Ozone,Allen Park,26-163-0001,AQS
5/18/80,50.0,Ozone,,26-163-0016,AQS
5/19/80,143.0,Ozone,Allen Park,26-163-0001,AQS
5/20/80,115.0,Ozone,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
5/21/80,122.0,Ozone,Allen Park,26-163-0001,AQS
5/22/80,182.0,Ozone,East 7 Mile,26-163-0019,AQS
5/23/80,164.0,Ozone,,26-125-0902,AQS
5/24/80,119.0,Ozone,,26-125-0902,AQS
5/25/80,73.0,NO2,,26-163-0020,AQS
5/26/80,58.0,NO2,,26-163-0020,AQS
5/27/80,108.0,NO2,,26-163-0020,AQS
5/28/80,187.0,Ozone,,26-125-0902,AQS
5/29/80,140.0,Ozone,,26-163-2002,AQS
5/30/80,61.0,Ozone,,26-147-0003,AQS
5/31/80,52.0,NO2,,26-163-0020,AQS
6/1/80,44.0,NO2,,26-163-0020,AQS
6/2/80,93.0,Ozone,,26-125-0902,AQS
6/3/80,55.0,NO2,,26-163-0020,AQS
6/4/80,52.0,NO2,,26-163-0020,AQS
6/5/80,54.0,CO,,26-163-0021,AQS
6/6/80,105.0,Ozone,,26-125-0902,AQS
6/7/80,61.0,NO2,,26-163-0020,AQS
6/8/80,47.0,NO2,,26-163-0020,AQS
6/9/80,47.0,NO2,,26-163-0020,AQS
6/10/80,60.0,NO2,,26-163-0020,AQS
6/11/80,96.0,NO2,,26-163-0020,AQS
6/12/80,137.0,Ozone,,26-147-0003,AQS
6/13/80,179.0,Ozone,,26-125-0902,AQS
6/14/80,101.0,NO2,,26-163-0020,AQS
6/15/80,95.0,NO2,,26-163-0016,AQS
6/16/80,45.0,NO2,,26-163-0020,AQS
6/17/80,84.0,Ozone,,26-125-0902,AQS
6/18/80,96.0,NO2,,26-163-0020,AQS
6/19/80,102.0,NO2,,26-163-0020,AQS
6/20/80,51.0,NO2,,26-163-0020,AQS
6/21/80,105.0,Ozone,,26-125-0902,AQS
6/22/80,172.0,Ozone,,26-125-0902,AQS
6/23/80,204.0,Ozone,,26-125-0902,AQS
6/24/80,115.0,Ozone,,26-125-0902,AQS
6/25/80,223.0,Ozone,,26-125-0902,AQS
6/26/80,169.0,Ozone,,26-163-2002,AQS
6/27/80,49.0,Ozone,,26-163-2002,AQS
6/28/80,154.0,Ozone,,26-163-2002,AQS
6/29/80,101.0,Ozone,,26-163-2002,AQS
6/30/80,51.0,NO2,,26-163-0020,AQS
7/1/80,156.0,Ozone,,26-163-2002,AQS
7/2/80,84.0,Ozone,Allen Park,26-163-0001,AQS
7/3/80,177.0,Ozone,East 7 Mile,26-163-0019,AQS
7/4/80,200.0,Ozone,,26-163-2002,AQS
7/5/80,87.0,Ozone,,26-163-2002,AQS
7/6/80,55.0,NO2,,26-163-0016,AQS
7/7/80,84.0,Ozone,,26-163-2002,AQS
7/8/80,64.0,NO2,,26-163-0020,AQS
7/9/80,67.0,NO2,,26-163-0020,AQS
7/10/80,204.0,Ozone,East 7 Mile,26-163-0019,AQS
7/11/80,119.0,Ozone,East 7 Mile,26-163-0019,AQS
7/12/80,42.0,NO2,,26-163-0016,AQS
7/13/80,112.0,Ozone,East 7 Mile,26-163-0019,AQS
7/14/80,201.0,Ozone,,26-125-0902,AQS
7/15/80,129.0,Ozone,,26-163-2002,AQS
7/16/80,108.0,Ozone,New Haven,26-099-0009,AQS
7/17/80,154.0,Ozone,,26-163-0016,AQS
7/18/80,179.0,Ozone,New Haven,26-099-0009,AQS
7/19/80,203.0,Ozone,New Haven,26-099-0009,AQS
7/20/80,209.0,Ozone,,26-125-0902,AQS
7/21/80,93.0,Ozone,New Haven,26-099-0009,AQS
7/22/80,51.0,Ozone,,26-163-0016,AQS
7/23/80,39.0,CO,,26-125-1002,AQS
7/24/80,115.0,Ozone,,26-163-2002,AQS
7/25/80,147.0,Ozone,East 7 Mile,26-163-0019,AQS
7/26/80,156.0,Ozone,Allen Park,26-163-0001,AQS
7/27/80,115.0,Ozone,New Haven,26-099-0009,AQS
7/28/80,60.0,CO,,26-125-1002,AQS
7/29/80,126.0,Ozone,New Haven,26-099-0009,AQS
7/30/80,68.0,NO2,,26-163-0020,AQS
